Latitude,Longitude,Time Epoch,UTM Bands,Easting,Northing
46.20622208,-121.4228314,Holocene,10T 621669 5118168,621669,5118168
46.24570699,-121.4598717,Holocene,10T 618727 5122499,618727,5122499
45.91066506,-121.7534403,Holocene,10T 596680 5084876,596680,5084876
45.88990084,-122.0820422,Holocene,10T 571221 5082223,571221,5082223
48.69995634,-121.8185617,Holocene,10U 586931 5394774,586931,5394774
46.24570699,-121.4598717,Holocene,10T 618727 5122499,618727,5122499
48.70062953,-121.81715,Holocene,10U 587034 5394851,587034,5394851
48.6977468,-121.8187943,Holocene,10U 586918 5394529,586918,5394529
48.69920952,-121.8211859,Holocene,10U 586739 5394688,586739,5394688
48.6993349,-121.8167225,Holocene,10U 587067 5394707,587067,5394707
46.344228,-121.714693,Late Pleistocene,10T 598906 5133096,598906,5133096
48.05277,-121.16676,Late Pleistocene,10U 636610 5323790,636610,5323790
47.997481,-121.116417,Late Pleistocene,10T 640512 5317736,640512,5317736
47.976634,-121.150644,Late Pleistocene,10T 638014 5315357,638014,5315357
47.928188,-121.259749,Early Pleistocene,10T 629994 5309783,629994,5309783
46.714164,-121.355944,Late Pleistocene,10T 625655 5174712,625655,5174712
46.381013,-121.402621,Middle Pleistocene,10T 622837 5137621,622837,5137621
46.337753,-121.742692,Late Pleistocene,10T 596762 5132342,596762,5132342
46.114182,-122.129911,Middle Pleistocene,10T 567235 5107101,567235,5107101
46.118794,-122.125729,Middle Pleistocene,10T 567552 5107617,567552,5107617
46.117379,-121.771785,Late Pleistocene,10T 594903 5107821,594903,5107821
46.110977,-121.752337,Late Pleistocene,10T 596416 5107133,596416,5107133
45.988034,-121.793418,Late Pleistocene,10T 593449 5093425,593449,5093425
45.997803,-121.789366,Late Pleistocene,10T 593746 5094515,593746,5094515
46.016023,-121.752058,Late Pleistocene,10T 596604 5096584,596604,5096584
45.99784,-122.141656,Middle Pleistocene,10T 566467 5094165,566467,5094165
46.223643,-121.392807,Middle Pleistocene,10T 623946 5120151,623946,5120151
46.20713,-121.426786,Middle Pleistocene,10T 621362 5118263,621362,5118263
45.987584,-121.688347,Early Pleistocene,10T 601587 5093503,601587,5093503
45.970378,-121.687729,Early Pleistocene,10T 601667 5091592,601667,5091592
45.978032,-121.869046,Early Pleistocene,10T 587607 5092227,587607,5092227
45.974057,-121.788857,Late Pleistocene,10T 593826 5091877,593826,5091877
45.924036,-121.883567,Early Pleistocene,10T 586567 5086212,586567,5086212
45.970447,-121.880236,Early Pleistocene,10T 586753 5091372,586753,5091372
45.963764,-122.032481,Middle Pleistocene,10T 574967 5090475,574967,5090475
45.957382,-122.021325,Middle Pleistocene,10T 575840 5089777,575840,5089777
45.953477,-122.015862,Middle Pleistocene,10T 576268 5089348,576268,5089348
46.054481,-121.842514,Early Pleistocene,10T 589539 5100751,589539,5100751
46.064753,-121.869496,Early Pleistocene,10T 587436 5101862,587436,5101862
46.069119,-121.877618,Early Pleistocene,10T 586801 5102338,586801,5102338
46.083505,-121.887592,Early Pleistocene,10T 586007 5103926,586007,5103926
46.082273,-121.871191,Early Pleistocene,10T 587277 5103807,587277,5103807
46.077875,-121.859989,Early Pleistocene,10T 588150 5103331,588150,5103331
45.667238,-122.187162,Late Pleistocene,10T 563317 5057397,563317,5057397
46.104389,-121.46182,Late Pleistocene,10T 618881 5106795,618881,5106795
46.089665,-121.454292,Late Pleistocene,10T 619494 5105170,619494,5105170
45.662374,-122.122022,Early Pleistocene,10T 568397 5056910,568397,5056910
45.654482,-122.456627,Late Pleistocene,10T 542336 5055802,542336,5055802
45.636393,-122.019769,Middle Pleistocene,10T 576398 5054116,576398,5054116
45.785004,-121.722275,Middle Pleistocene,10T 599320 5070953,599320,5070953
45.773559,-121.469348,Middle Pleistocene,10T 619005 5070027,619005,5070027
45.741553,-121.582363,Middle Pleistocene,10T 610281 5066309,610281,5066309
45.641553,-122.401158,Middle Pleistocene,10T 546669 5054396,546669,5054396
45.927088,-121.675013,Early Pleistocene,10T 602732 5086799,602732,5086799
45.930685,-121.67168,Early Pleistocene,10T 602984 5087203,602984,5087203
46.087167,-121.465214,Late Pleistocene,10T 618655 5104876,618655,5104876
46.080495,-121.465212,Late Pleistocene,10T 618670 5104135,618670,5104135
45.839873,-121.989673,Middle Pleistocene,10T 578458 5076752,578458,5076752
45.827916,-121.80842,Middle Pleistocene,10T 592553 5075617,592553,5075617
45.816412,-122.498886,Late Pleistocene,10T 538931 5073771,538931,5073771
46.149533,-121.766861,Early Pleistocene,10T 595228 5111400,595228,5111400
46.150126,-121.76004,Early Pleistocene,10T 595753 5111474,595753,5111474
46.144311,-121.755346,Early Pleistocene,10T 596126 5110833,596126,5110833
46.135349,-121.753988,Early Pleistocene,10T 596246 5109839,596246,5109839
46.071615,-121.769986,Early Pleistocene,10T 595120 5102739,595120,5102739
46.045458,-121.774933,Early Pleistocene,10T 594782 5099827,594782,5099827
46.108103,-122.128979,Middle Pleistocene,10T 567314 5106426,567314,5106426
46.087514,-121.789974,Middle Pleistocene,10T 593548 5104482,593548,5104482
46.074165,-121.463451,Late Pleistocene,10T 618820 5103434,618820,5103434
46.07545,-121.436563,Late Pleistocene,10T 620896 5103618,620896,5103618
46.070787,-121.434564,Late Pleistocene,10T 621061 5103103,621061,5103103
46.058295,-121.591061,Middle Pleistocene,10T 608983 5101488,608983,5101488
45.582966,-122.441844,Early Pleistocene,10T 543543 5047864,543543,5047864
45.868415,-121.433943,Early Pleistocene,10T 621551 5080619,621551,5080619
45.822585,-121.447082,Early Pleistocene,10T 620630 5075507,620630,5075507
45.825404,-121.45477,Early Pleistocene,10T 620027 5075809,620027,5075809
45.82102,-121.458161,Early Pleistocene,10T 619773 5075317,619773,5075317
45.817342,-121.460919,Early Pleistocene,10T 619566 5074904,619566,5074904
46.061543,-121.469685,Late Pleistocene,10T 618365 5102023,618365,5102023
46.048659,-121.448199,Late Pleistocene,10T 620054 5100623,620054,5100623
46.061508,-121.424713,Late Pleistocene,10T 621843 5102087,621843,5102087
46.023793,-121.385606,Middle Pleistocene,10T 624953 5097957,624953,5097957
46.003032,-121.429358,Middle Pleistocene,10T 621612 5095583,621612,5095583
45.978012,-121.4948,Pleistocene (Ambiguous),10T 616597 5092705,616597,5092705
45.984784,-121.403365,Late Pleistocene,10T 623665 5093595,623665,5093595
48.635354,-121.730242,Late Pleistocene,10U 593549 5387698,593549,5387698
48.707954,-121.840567,Middle Pleistocene,10U 585298 5395639,585298,5395639