Latitude,Longitude,Epoch of Most Recent Eruption,UTM Bands,UTM Easting,UTM Northing
44.28275462,-121.8256031,Holocene,10T 593708 4903949,593708,4903949
44.26355674,-121.8473421,Holocene,10T 592003 4901792,592003,4901792
42.96088962,-122.0976477,Holocene,10T 573596 4756866,573596,4756866
42.94011076,-122.1250618,Holocene,10T 571384 4754535,571384,4754535
44.3788477,-121.9287745,Holocene,10T 585336 4914509,585336,4914509
44.12958848,-121.8390705,Middle Pleistocene,10T 592873 4886921,592873,4886921
44.14129993,-121.8479861,Middle Pleistocene,10T 592142 4888212,592142,4888212
44.13544849,-121.8548997,Middle Pleistocene,10T 591598 4887554,591598,4887554
44.13271459,-121.8539441,Middle Pleistocene,10T 591679 4887251,591679,4887251
44.11916266,-121.8491451,Middle Pleistocene,10T 592084 4885751,592084,4885751
45.06411138,-121.6924882,Early Pleistocene,10T 602936 4990903,602936,4990903
45.01499033,-121.8328041,Early Pleistocene,10T 591968 4985278,591968,4985278
45.25573699,-121.5364839,Early Pleistocene,10T 614833 5012401,614833,5012401
42.951693,-122.16493,Late Pleistocene,10T 568118 4755788,568118,4755788
42.908078,-122.085351,Middle Pleistocene,10T 574662 4751012,574662,4751012
42.961613,-122.151737,Late Pleistocene,10T 569183 4756901,569183,4756901
42.831027,-122.22319,Middle Pleistocene,10T 563489 4742343,563489,4742343
42.843165,-122.229491,Middle Pleistocene,10T 562962 4743686,562962,4743686
42.443441,-122.314327,Late Pleistocene,10T 556389 4699240,556389,4699240
42.511708,-122.145559,Late Pleistocene,10T 570193 4706946,570193,4706946
42.764536,-122.234275,Early Pleistocene,10T 562650 4734951,562650,4734951
43.111317,-122.247495,Middle Pleistocene,10T 561224 4773451,561224,4773451
43.141528,-122.279544,Early Pleistocene,10T 558588 4776783,558588,4776783
43.283187,-122.013883,Middle Pleistocene,10T 580006 4792735,580006,4792735
43.527918,-122.141874,Late Pleistocene,10T 569342 4819799,569342,4819799
43.399982,-122.051043,Middle Pleistocene,10T 576844 4805670,576844,4805670
43.384055,-122.097345,Middle Pleistocene,10T 573114 4803860,573114,4803860
43.558599,-122.131995,Middle Pleistocene,10T 570105 4823215,570105,4823215
43.150177,-122.216511,Late Pleistocene,10T 563705 4777789,563705,4777789
43.044937,-122.063754,Late Pleistocene,10T 576256 4766230,576256,4766230
43.162011,-122.03726,Middle Pleistocene,10T 578265 4779255,578265,4779255
43.150673,-122.06155,Middle Pleistocene,10T 576304 4777974,576304,4777974
43.148918,-122.028825,Middle Pleistocene,10T 578967 4777809,578967,4777809
43.192135,-122.035694,Middle Pleistocene,10T 578353 4782602,578353,4782602
43.605153,-122.004924,Middle Pleistocene,10T 580306 4828500,580306,4828500
43.531489,-122.036013,Middle Pleistocene,10T 577892 4820289,577892,4820289
43.665056,-122.059001,Early Pleistocene,10T 575867 4835102,575867,4835102
43.661982,-122.09702,Middle Pleistocene,10T 572805 4834727,572805,4834727
43.518953,-121.901223,Early Pleistocene,10T 588802 4819032,588802,4819032
43.471623,-121.863372,Early Pleistocene,10T 591933 4813817,591933,4813817
43.584744,-121.933492,Middle Pleistocene,10T 586100 4826305,586100,4826305
44.24061,-121.664368,Late Pleistocene,10T 606649 4899464,606649,4899464
44.00297,-121.641056,Late Pleistocene,10T 608947 4873100,608947,4873100
43.979022,-121.686186,Late Pleistocene,10T 605371 4870381,605371,4870381
44.397634,-121.632815,Early Pleistocene,10T 608878 4916947,608878,4916947
43.628103,-121.964961,Late Pleistocene,10T 583500 4831088,583500,4831088
43.560714,-121.809482,Early Pleistocene,10T 596150 4823772,596150,4823772
43.550577,-121.754354,Early Pleistocene,10T 600619 4822712,600619,4822712
43.630055,-121.766571,Early Pleistocene,10T 599501 4831524,599501,4831524
43.732226,-122.108497,Middle Pleistocene,10T 571796 4842518,571796,4842518
43.706769,-121.974563,Late Pleistocene,10T 582617 4839816,582617,4839816
43.763671,-121.96149,Middle Pleistocene,10T 583591 4846148,583591,4846148
43.846349,-121.974877,Middle Pleistocene,10T 582400 4855318,582400,4855318
43.819411,-121.867385,Middle Pleistocene,10T 591081 4852438,591081,4852438
43.744713,-121.799343,Late Pleistocene,10T 596673 4844219,596673,4844219
43.907405,-121.93744,Pleistocene (Ambiguous),10T 585322 4862137,585322,4862137
43.922618,-121.824984,Middle Pleistocene,10T 594328 4863949,594328,4863949
43.46156,-121.665383,Early Pleistocene,10T 607965 4812937,607965,4812937
43.63784,-121.656584,Middle Pleistocene,10T 608360 4832526,608360,4832526
43.951245,-121.678651,Late Pleistocene,10T 606025 4867306,606025,4867306
43.901788,-121.696428,Late Pleistocene,10T 604685 4861790,604685,4861790
42.884381,-122.119878,Middle Pleistocene,10T 571871 4748351,571871,4748351
45.038614,-121.719298,Middle Pleistocene,10T 600871 4988037,600871,4988037
44.997818,-121.581238,Early Pleistocene,10T 611824 4983687,611824,4983687
45.065523,-121.658223,Early Pleistocene,10T 605631 4991104,605631,4991104
45.156526,-121.719699,Early Pleistocene,10T 600632 5001135,600632,5001135
43.800756,-121.695367,Middle Pleistocene,10T 604947 4850570,604947,4850570
44.128146,-121.852679,Middle Pleistocene,10T 591787 4886745,591787,4886745
44.071561,-121.858783,Early Pleistocene,10T 591386 4880454,591386,4880454
44.112709,-121.894586,Middle Pleistocene,10T 588457 4884985,588457,4884985
44.060205,-121.824389,Middle Pleistocene,10T 594158 4879231,594158,4879231
44.166135,-121.769955,Late Pleistocene,10T 598342 4891060,598342,4891060
44.240025,-121.915539,Late Pleistocene,10T 586594 4899104,586594,4899104
44.264901,-121.745269,Late Pleistocene,10T 600148 4902060,600148,4902060
44.332178,-121.837695,Middle Pleistocene,10T 592665 4909425,592665,4909425
44.53848,-122.02493,Early Pleistocene,10T 577464 4932145,577464,4932145
44.451025,-122.192605,Early Pleistocene,10T 564239 4922286,564239,4922286
44.426867,-122.038119,Pleistocene (Ambiguous),10T 576562 4919735,576562,4919735
44.507057,-122.028276,Early Pleistocene,10T 577240 4928652,577240,4928652
44.464043,-121.900402,Late Pleistocene,10T 587469 4924003,587469,4924003
44.527229,-121.916692,Middle Pleistocene,10T 586080 4931004,586080,4931004
44.480655,-121.842942,Middle Pleistocene,10T 592014 4925911,592014,4925911
44.60764,-121.996682,Early Pleistocene,10T 579614 4939855,579614,4939855
44.54772,-121.882496,Middle Pleistocene,10T 588766 4933317,588766,4933317
44.820571,-121.760231,Late Pleistocene,10T 598017 4963765,598017,4963765
44.898821,-121.841841,Middle Pleistocene,10T 591441 4972363,591441,4972363
44.934803,-121.790986,Middle Pleistocene,10T 595396 4976418,595396,4976418
44.935453,-121.754095,Middle Pleistocene,10T 598306 4976535,598306,4976535
45.017669,-121.79062,Early Pleistocene,10T 595288 4985624,595288,4985624
42.965406,-122.057548,Middle Pleistocene,10T 576861 4757404,576861,4757404
42.91249,-122.171734,Late Pleistocene,10T 567606 4751429,567606,4751429
42.843158,-122.285708,Pleistocene (Ambiguous),10T 558368 4743645,558368,4743645